row_id,screen_name,tweet_text,location,lat_coord,lon_coord
1,carolecadwalla,this week marked a major milestone for us parliament heard the story amp released the documents that prompted cambridge analytica’s legal action against us and it was nothing to do with facebook data ,,,
2,carolecadwalla,seven hours ahead of publishing this article cambridge analytica threatened to sue it was nothing to do with facebook data it was the link to aggegateiq to vote leave to brexit ,,,
3,carolecadwalla,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,,,
4,Dean_Bain,this week marked a major milestone for us parliament heard the story amp released the documents that prompted cambridge analytica’s legal action against us and it was nothing to do with facebook data ,,,
5,spboswell1,seven hours ahead of publishing this article cambridge analytica threatened to sue it was nothing to do with facebook data it was the link to aggegateiq to vote leave to brexit ,,,
6,BlackpoundUK,facebook users can get rs1138 lakh each for data breach via,London UK,,
7,Walsh3Sezwho,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,Indianapolis,,
8,LePlanRex,seven hours ahead of publishing this article cambridge analytica threatened to sue it was nothing to do with facebook data it was the link to aggegateiq to vote leave to brexit ,,,
9,Disillusioned33,youre in control of privacy and security says facebook except youre not at least when it comes to apps facebook makes it difficult and sometimes even impossible for users to assert control over their personal data ,Here,,
10,Isee2018,the fact that a bad actor like cambridge analytica was able to gain access to so much of facebook’s data to manipulate people is a sign that self regulation isn’t enough congress must work with tech leaders on nuanced regulation to make sure that this never happens again,,,
11,stokey4labour,this week marked a major milestone for us parliament heard the story amp released the documents that prompted cambridge analytica’s legal action against us and it was nothing to do with facebook data ,"Newcastle-under-Lyme, England",,
12,LePlanRex,this week marked a major milestone for us parliament heard the story amp released the documents that prompted cambridge analytica’s legal action against us and it was nothing to do with facebook data ,,,
13,RonPandullo,forget russia hysteria or cambridge analytica it facebook and google you should be worried about theyre choosing your content for you and theyre filtering your content for you ,,,
14,Welshboy_Mark,today’s piece cambridge analytica theresa may’s government and what increasingly looks like a cover up ,South Wales,,
15,naxalite,it already clear that neither peter thiel nor palantir are going to suffer any serious consequences over their involvement in cambridge analytica facebook scandal just as they suffered none after team themis this is why were building pursuance,inside in,,
16,57cheyenne, psychological warfare is being waged on us foxnews facebook surveillance machine cambridge analytica scl group sinclair broadcasting consolidated media selling internet searches loss of net neutrality superpacs twitter bots russian interference citizens united ruling,U.S.A.,,
17,DAWJoyce,clear explanation by of the actual banality of the computer modeling underlying the facebook cambridge analytica scandal how cambridge analytica’s facebook targeting model really worked – according to the person who built it via ,Sydney,,
18,CayIsBlue,youre in control of privacy and security says facebook except youre not at least when it comes to apps facebook makes it difficult and sometimes even impossible for users to assert control over their personal data ,#TheResistance,,
19,BuyerGV,a former cambridge analytica employee said the company absolutely planted fake news watch this video to learn how they used the data obtained from facebook these glimpses provide vital information about methods that fake news companies use ,,,
20,ThinkTwice2018,seven hours ahead of publishing this article cambridge analytica threatened to sue it was nothing to do with facebook data it was the link to aggegateiq to vote leave to brexit ,,,
