row_id,old_location,cleaned_location,latitude,longitude
1,"Manhattan, NY","Manhattan, NY",40.7830603,-73.9712488
2,"Pevensey Bay, England","Pevensey Bay, England",50.8209317,0.3397311
3,"Odessa, TX","Odessa, TX",31.8456816,-102.3676431
4,"Philadelphia, PA","Philadelphia, PA",39.9525839,-75.1652215
5,BRAZIL  South America,BRAZIL South America,-14.235004,-51.92528
6,Israel,Israel,31.046051,34.851612
7,United States,United States,37.09024,-95.712891
8,Old Fort Bayou! south of u!,Old Fort Bayou! south of u!,30.469088,-88.766077
9,West by god Virginia ,West by god Virginia,36.8300806,-77.8887564
10,UK,UK,55.378051,-3.435973
11, Arizona,Arizona,34.0489281,-111.0937311
13,United Kingdom,United Kingdom,55.378051,-3.435973
14,Milton Keynes / London,"Milton Keynes , London",52.0558245,-0.8511732
15,"Orange County, CA","Orange County, CA",33.7174708,-117.8311428
16,"South Louisiana, USA","South Louisiana, USA",30.9842977,-91.9623327
17,"Hyderabad, India","Hyderabad, India",17.385044,78.486671
18,Florida,Florida,27.6648274,-81.5157535
20,Gibraltar,Gibraltar,36.140751,-5.353585
21,My World,My World,30.602707,-97.842525
23,"Prague, Czech Republic","Prague, Czech Republic",50.0755381,14.4378005
24,"San Diego, CA","San Diego, CA",32.715738,-117.1610838
25,France,France,46.227638,2.213749
28,"Salem, MA","Salem, MA",42.51954,-70.8967155
29,"London, England","London, England",51.5073509,-0.1277583
30,"Toronto, Ontario","Toronto, Ontario",43.653226,-79.3831843
31,"Pretoria, South Africa","Pretoria, South Africa",-25.7478676,28.2292712
32,"MS (temporarily, I hope)","MS (temporarily, I hope)",32.3546679,-89.3985283
34,South Carolina,South Carolina,33.836081,-81.1637245
35,"Minsk, Belarus","Minsk, Belarus",53.9045398,27.5615244
36,Clipperton Island,Clipperton Island,10.2833333,-109.2166667
37,"New York, USA","New York, USA",40.7127753,-74.0059728
38,"Chicago, IL","Chicago, IL",41.8781136,-87.6297982
39,"Texas, USA","Texas, USA",31.9685988,-99.9018131
40,Sydney,Sydney,-33.8688197,151.2092955
41,"Reno, NV","Reno, NV",39.5296329,-119.8138027
43,Colombia / UK,"Colombia , UK",51.500207,-0.1960277
44,"København, Danmark","København, Danmark",55.6760968,12.5683372
45,West Coast of USA,West Coast of USA,62.4113634,-149.0729714
46,Portugal,Portugal,39.399872,-8.224454
47,"North Carolina, USA","North Carolina, USA",35.7595731,-79.0192997
48,"Algonquin, IL","Algonquin, IL",42.1655801,-88.2942493
49,Australia,Australia,-25.274398,133.775136
50,On the move,On the move,36.1680847,-95.8301781
51,Sunshine State 🌴,Sunshine State 🌴,27.6648274,-81.5157535
52,"Colorado, USA","Colorado, USA",39.5500507,-105.7820674
53,"North Brunswick, NJ","North Brunswick, NJ",40.4525163,-74.4766712
54,"Tifton, GA","Tifton, GA",31.4504629,-83.5084973
55,"Boca Raton, FL","Boca Raton, FL",26.3683064,-80.1289321
56,"Tennessee, USA","Tennessee, USA",35.5174913,-86.5804473
58,"Minnesota, USA","Minnesota, USA",46.729553,-94.6858998
59,Idaho,Idaho,44.0682019,-114.7420408
60,member of the world,member of the world,34.08166,-118.150494
61,"Washington, DC","Washington, DC",38.9071923,-77.0368707
62,European Union ,European Union,45.4198818,-75.6951768
63,"Vero Beach, FL","Vero Beach, FL",27.6386434,-80.3972736
64,"Florida, USA","Florida, USA",27.6648274,-81.5157535
65,At Lo-Ha,At Lo-Ha,34.0254249,-118.3408518
66,Ghana,Ghana,7.946527,-1.023194
67,"Portland, OR","Portland, OR",45.5230622,-122.6764815
68,Trump USA,Trump USA,36.3708699,-94.193076
69,Bay area Cali ,Bay area Cali,37.8271784,-122.2913078
70,On the road,On the road,28.3593133,-81.5605083
71,Mosambik,Mosambik,-18.665695,35.529562
72,"Queensland, Australia","Queensland, Australia",-20.9175738,142.7027956
73,longville La,longville La,30.6051979,-93.2318269
75,"Las Vegas, NV","Las Vegas, NV",36.1699412,-115.1398296
77,Vancouver and London,Vancouver and London,30.4785917,-91.0054433
78,"Montréal, Québec","Montréal, Québec",45.5016889,-73.567256
79,"Yorkshire, UK","Yorkshire, UK",53.699081,-1.1228683
80,"I'll never tell!
",I'll never tell!,27.6531178,-80.3568004
81,"Logan, UT","Logan, UT",41.7369803,-111.8338359
82,"Würzburg, Deutschland","Würzburg, Deutschland",49.7913044,9.9533548
86,Washington D.C.,Washington D.C.,38.9071923,-77.0368707
87,"England, United Kingdom","England, United Kingdom",52.3555177,-1.1743197
88,italy,italy,41.87194,12.56738
89,Minnesota,Minnesota,46.729553,-94.6858998
90,"California, USA","California, USA",36.778261,-119.4179324
92,Delaware Shore,Delaware Shore,38.7209454,-75.0760137
93,Deutschland,Deutschland,51.165691,10.451526
94,"Arizona, USA","Arizona, USA",34.0489281,-111.0937311
95,Lahore - Islamabad - Pakistan ,Lahore - Islamabad - Pakistan,32.33807,73.0093082
96,Japan,Japan,36.204824,138.252924
97,"Alberta, Canada","Alberta, Canada",53.9332706,-116.5765035
98,Texas,Texas,31.9685988,-99.9018131
101,"Batesville, MS","Batesville, MS",34.3114982,-89.9442567
102,Asgard,Asgard,35.0693485,-106.7313029
103,Political Combat Training Ctr,Political Combat Training Ctr,37.09024,-95.712891
104,Canada,Canada,56.130366,-106.346771
105,New York City,New York City,40.7127753,-74.0059728
106,"Leipzig, Deutschland","Leipzig, Deutschland",51.3396955,12.3730747
107,NYC / UK (The World),"NYC , UK (The World)",40.7566126,-73.9696651
